airtable_record_id,webflow_item_id,current_slug,name
recA3sjNfZixzq6pg,6a439dcdceacc08ced525b58,regenerate-gathered-jersey-top-khaki,Regenerate Gathered Jersey Top - Khaki
recA3xq7tvsf5vdLf,6a4cb87abec02db17f1eb6bf,marni-fluffy-vest-pale-blue,Marni Fluffy Vest - Pale Blue
recA4BqT1I976u26G,6a4cb87cc6bb0833b70be049,helm-denim-mini-dress-ivory-logo-wash,Helm Denim Mini Dress - Ivory Logo Wash
recA4Uy44lIaKo7Vg,6a4cb87f5d899b065cf93f90,jules-floral-short,Jules Floral Short
recA4a47GfIyeeOoy,6a4cb884549d7ebdad722f35,capture-skirt-chocolate,Capture Skirt - Chocolate
recA4qsTfALYXsRwY,6a4cb88733b5244a8364486c,helm-denim-shirt-ivory-logo-wash,Helm Denim Shirt - Ivory Logo Wash
recA4ul8ua1S3ERXg,6a42da1115e9bbedd1805716,acacia-sundress,Acacia Sundress
recA5ZaWbOomHtCH2,6a4cb88bc8747c691e5a9c1a,oxidised-shirt-dress-olive,Oxidised Shirt Dress - Olive
recA6qE88sntK7vtg,6a4cb88d308f6f0c3e879684,le-jardin-spiral-cord-bracelet,Le Jardin Spiral Cord Bracelet
recA7US8GyStMPRWX,6a4cb89016371dc4aa8ab3fd,meagan-shell-scarf-teal,Meagan Shell Scarf - Teal
recA8OH0NNImteIw5,6a201b5302b2fe2e3e6cd36a,casabianca-braided-tiered-skirt-ivory,Casabianca Braided Tiered Skirt - Ivory
recA9Y1vYHwpsgaf0,6a201b551d9038ff2b56b7bc,fiesta-mini-dress,Fiesta Mini Dress
recA9p3O5sBNfuSH0,6a4cb896f308076f02365120,michelle-tufted-midi-basket,Michelle Tufted Midi Basket
recAAK3SLGqGOdkBz,6a4cb8995b4771488be8f76d,chromatic-mini-dress-olive-native-floral,Chromatic Mini Dress - Olive Native Floral
recAAwy8uTGib0keW,6a4cb89cbf6b1471ff62172c,casa-tiered-knit-midi-dress-ivory,Casa Tiered Knit Midi Dress - Ivory
recAB6Nb6tLhfZWzJ,6a4cb89e1e6e4f5120e857c1,mirella-sleeve-long-sleeve-top-chocolate,Mirella Sleeve Long Sleeve Top - Chocolate
recACKNl8hM4FCLTK,6a4cb8a15b4771488be8fcd7,glider-embellished-logo-tee-blacksilver,Glider Embellished Logo Tee - Black/Silver
recACc0JWiBUDWaD2,6a201b5a79dbf106bfa2e835,florential-text-midi-dress-black,Florential Text Midi Dress - Black
recADAwcA9kUNT76D,6a4cb8a5da68e7f89a5ffa06,laine-logo-tee-whitesand,Laine Logo Tee - Whitesand
recADGTh19g3xsU39,6a4cb8aab911575afc04af5a,rowena-beaded-mini-dress,Rowena Beaded Mini Dress
recADRkLHEDeNnW16,6a201b5b07685f373dbb8b0d,meagan-linen-short,Meagan Linen Short
recADWxw7NHafvqp5,6a4cb8aec4a61c3b9661336b,clemenza-scarf,Clemenza Scarf
recADnK5WppxiuMyG,6a2c9bb61372de816b3cf026,tazia-crocheted-edge-tank-ivory,Tazia Crocheted Edge Tank - Ivory
recAEPkRrPFwdZNnQ,6a4cb8b3c68ca3186e60c6ca,katerina-midi-dress,Katerina Midi Dress
recAGy9y6RissJidU,6a3c6812a665bd79759a7dc2,marine-shirtdress,Marine Shirtdress
recAHq8LtRhqvSUu4,6a4cb8b95b4771488be90d29,byblos-belted-linen-short-ivory,Byblos Belted Linen Short - Ivory
